text,label
The one thing that occurred to me after watching this drivel was i would never get the time I used to watch this back again If you want to see Stacey keach and Michael dorn try and earn what must have been then the down payments on a holiday home then stay tuned Wooden acting poor special effects the only comedic highlight was whilst our alien hero was in female form and this is over as soon as she has done her obligatory bmovie nude sex scene within 30 mins into the movie The opportunity to have made what could have been a decent movie disappears the moment Nicole Eggbert clocks the alien in a bar within 30 seconds whilst the Police Military and Joe public dont cotton on that the woman drinking coffee dosnt use the cup handle and wears four jumpers at once She must obviously be from another planet Just where I wish I was when this movie was on,0
I have been a fan of Without A Trace from the premier episode I really cannot express my disappointment in the episode last week This is a REAL problem that far too many AficanAmerican families have dealt with and continue to deal with The lack of media coverage crucial in the first 48 hours has been documented by a recent study Law enforcement including local state and federal are also complicit What was the purpose of advertising this subject matter and then copping out on the ending Seemingly television can deal with almost ANY subject matter EXCEPT RACE This is shamefulGet it together or dont explore it next time,0
The centurions is one of the best cartoons ever and it needs to be put on TV and DVD so people can have younger generations enjoy such a good show that is far better than the garbage they have made in the last 14 years I have a petition online that is at the website address Httpwwwpetitiononlinecom6600Fpetitionhtml that originally was trying to get this show on five days a week but is now trying to get this show onto DVD since the TV station it was focused on has bad public relations We all need to convince the people who own this show to put it on DVD so it can be seen by future generations Also since now Hasbro Toys owns the toy line of this show we might want to try to convince them to make a live action movie of it just like they have done with Transformers and sometime this year GIJoe We need good cartoons like this one to come back and be enjoyed by the younger generations Please do sign this petition so we can one day have DVDs of the guys who are famous for yelling Power Extreme,1
Even if youre a fan of Jean Rollins idiosyncratic body of work you will be caught off guard by this exceptional foray into science fiction territory For once theres not a single diaphanously gowned vampire girl in sight True to tradition the budget proved way too tight to realize the directors vision entirely Yet this is largely compensated by his obvious love of genre cinema dedication to his craft and sheer ingenuity JeanClaude Coutys atmospheric cinematography makes the most of the foreboding locations and Philippe Brjean aka Gary Sandeur contributes a startling soundtrack that fortunately doesnt resemble any of the sappy stuff he composed for hardcoreShot in and around a Paris office block before and after working hours the film was largely cast with porn regulars Rollin was already quite familiar with from his Michel Gentil cashgathering XXX efforts most notably French fck film royalty Brigitte Lahaie in the demanding lead Playing Elisabeth rather well I might add shes picked up wandering a nearby highway one night by Robert Vincent Gardre driving home at the end of a long work day Barely able to piece together the string of events that got her there Elisabeth seems to lose her memories mere moments after events occur even forgetting Roberts name and heroic savior role before their night flight comes to an end at his apartment Prior to making love she rightfully describes herself as a virgin further credit to Brigittes thespian skills that she can handle the line so convincingly being after all one of the more active adult actresses of the 70s because she cannot recall a single touch preceding his Because of this nifty bit of context the relatively long sex scene that follows totally eschews the gratuity of other commercial interludes Rollin has had to include in other works to assure fundingWhen Robert leaves for work hes inevitably erased from Elisabeths feeble mind A mysterious doctor comedian Bernard Papineau effectively cast against type and his menacing assistant Solange striking porn starlet Rachel Mhas move in on her during her protectors absence and take her back to the place she turns out to have escaped from Here we get one of the movies strongest scenes as shes reintroduced to her roommate Catherine the late Cathrine Greiner aka hardcore performer Cathy Stewart in a quietly devastating turn both girls desperately supplying fictitious shared memories for one another in a bid to outrun their inevitable fate That deterioration is not solely limited to the mind becomes painfully clear when they are served lunch and Catherines unable to control her movements in trying to eat a spoonful of soup Its also Catherine who gets to voice the filmmakers compromise with the demands of commerce as she urges Elisabeth to get naked and hold her because sex is all they have left now that both mind and physical faculties have deserted themSeveral rather explicit if not quite hardcore sex scenes make up the movies midsection and French porn aficionados should recognize the likes of Alain Plumey aka Cyril Val Jacques Gateau and Elodie Delage along with a blink and miss bit from future porno princess Marilyn Jess whose rape at the hands mouth and member of Plumey was only present in the films rarely screened XXX version FILLES TRAQUEES The pivotal part of Vronique a girl Elisabeth almost seems to remember and whom she seeks to escape anew with is beautifully handled by the exquisite Dominique Journet in her unforgettable debut who would go on to play a sizable supporting role in Franco Zeffirellis LA TRAVIATA The six feet under ending reveals the deteriorating condition to be the result of a nuclear spill the quarantined patients ultimately leaving a barely breathing empty shell unceremoniously disposed off in a fiery furnace The final shot offers a particularly heartbreaking variation on that of Chaplins MODERN TIMES as Elisabeth approaching complete meltdown by now and a wounded Robert stumble along the railroad bridge clumsily clasping each others outstretched hands,1
Brand Hauser John Cusack is an assassin for the CIA He is ordered to go to the country of Turaquistan a nation that the United States has liberated and kill a businessman named Omar Shariff This is because the American conglomerate Tamerlane that is putting the country back together will not stand for Shariff an oil man from a neighboring state laying down his own pipeline through wartorn Turquistan But once there Brand runs into difficulties One he meets a determined journalist Natalie Marisa Tomei who wants to tell the American public the true story of the regions conflictand of Tamerlane But Brand is aghast to realize that Natalies pretty face and sharp mind instantly and unconsciously compels him to lose focus on his mission Also his cover as a trade show host forces him to meet the countrys popsinging princess Yonica Hillary Duff who will be getting married at the convention center She is a young diva whose wedding arrangements also turn Brands attention away from the coming assassination With other inept underlings and complications will Brand be able to carry out his mission for the satisfaction of Tamerlanes BIG boss the former vicepresident Dan Ackroyd Good for you John Cusack to make this film even though it doesnt quite hold together Shot in Serbia it is a worthy look at what presentday Iraq must be like a country turned upsidedown In a stroke a brilliance the green zone here is called The Emerald City and aptly so for this Ozlike neighborhood attempts to keep out the ravages of war going on elsewhere in the metropolis The cast is very fine with Cusack doing a nice job and Tomei Joan Cusack Ben Kingsley Ackroyd and others backing him up in style Duff especially does a great turn as the heavilyaccented heavily madeup pottymouthed singer The recreation of warriddled Baghdad is so real that it hurts while the costumes and other production values are topnotch As for the script it isnt always cohesive but it certainly has some tremendous dialogue and scenes For example a young Turaqui boy offers to show Brand an enemy hideout in exchange for money and candy Brand produces the cash but because he has no candy the boy burns his vehicle anyway Brilliant Then also the direction is not a total success but doesnt lag very often No if you have conservative leanings you probably wont like this film one bit But if you have an open mind and want to see a satirical view of the war on terrorism this is quite a good show Therefore do make an effort to view it as you will be supporting those filmmakers who choose to make movies far away from those old studio formulas,1
You probably all already know this by now but 5 additional episodes never aired can be viewed on ABCcom Ive watched a lot of television over the years and this is possibly my favorite show ever Its a crime that this beautifully written and acted show was canceled The actors that played Laura Whit Carlos Mae Damian Anya and omg Steven Caseman are all incredible and so natural in those roles Even the kids are great Wonderful show So sad that its gone Of course I wonder about the reasons it was canceled There is no way Ill let myself believe that Ms Moynahans pregnancy had anything to do with it It was in the perfect time slot in this market Ive watched all the episodes again on ABCcom I hope they all come out on DVD some day Thanks for reading,1
Oh brotherafter hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee songIs that all there is I was just an early teen when this smoked fish hit the US I was too young to get in the theater although I did manage to sneak into Goodbye Columbus Then a screening at a local film museum beckoned Finally I could see this film except now I was as old as my parents were when they schlepped to see itThe ONLY reason this film was not condemned to the anonymous sands of time was because of the obscenity case sparked by its US release MILLIONS of people flocked to this stinker thinking they were going to see a sex filmInstead they got lots of closeups of gnarly repulsive Swedes onstreet interviews in bland shopping malls asinie political pretensionand feeble whocares simulated sex scenes with saggy pale actorsCultural icon holy grail historic artifactwhatever this thing was shred it burn it then stuff the ashes in a lead boxElite esthetes still scrape to find value in its boring pseudo revolutionary political spewingsBut if it werent for the censorship scandal it would have been ignored then forgottenInstead the I Am Blank Blank rhythymed title was repeated endlessly for years as a titilation for porno films I am Curious Lavender for gay films I Am Curious Black for blaxploitation films etc and every ten years or so the thing rises from the dead to be viewed by a new generation of suckers who want to see that naughty sex film that revolutionized the film industryYeesh avoid like the plagueOr if you MUST see it rent the video and fast forward to the dirty parts just to get it over with,0
This move is terrible They took Gods word and made a mockery of it The acting was terrible too Why bother doing a story on something from the bible when your not even going to tell it correctly There were not just a few changes but the whole thing was wrong Do not see this movie,0
I rented this because Im a bit weary of 80s NBC programming and apparently I saved myself a lot of money I have nothing against any of the actors and for their credit they do a good job but this show is flawed from the premiseWe have a character who is unlikable Hes full of flaws not enlightened and a complete jerk on a good day Yet the reason why anybody should care just isnt there While creating an American sitcom centered around a complete bullheaded jackass is revolutionary and full of potential it just isnt met here within this show Most of the supporting characters arent fully fleshed characters but rather sad punching bags that want empathy from the audience for being punching bags As in any sitcom they are the ones who are made the most normal for the audience to relate to and in doing this they negate the lead character to such an extent that we see Bittinger being himself and harming people and they just stay there becausewhy There is no reason Any normal people would have simply left the abuse Keeping them there without any real reasoneven the really unbelievable one given by Joanna Cassidy in the very special 2part abortion episode that has major problems of its ownis where the show just falls apart To simply believe that people put up with this guy because we are told he has a heart of gold does not mesh with the reality of the situation If anything this isnt even dramedy This is a badly plotted conceived and executed premise that had a few moments but overall met the fate it deserved Someone had the guts to go out and make a very good idea but the execution is so haphazard that it just looks like a weirdly scripted version of the Jerry Springer show where someone is abused by this tyrant that were supposed to root for because we are told to A show like this requires a deft touch that the actors here could have provided easily but somehow arent able to And thats a fatal error that really killed the programChalk it up to a show in its infancy Regardless the show is worth a watch But it really screwed up when trying to aim for the stars and made the whole enterprise not what it could have been,0
Very few so called remakes can be as good as the originals This one crosses that border with flying colors Just a remake I dont think so I saw it theatrically at the age of nine and was completely entranced and enraptured by the film The film certainly invites comparisons to its 1963 counterpart The earlier film is also a enjoyable and entertaining movie but admittedly it tends to feel more like a nature documentary than a film This update is more epic and cinematic Still I thoroughly recommend both filmsThis film is certainly a mustsee for an animal lover We have the wise old Golden Retriever Shadow the sharp sarcastic Himalayan cat Sassy and the young funloving American Bulldog Chance The animals are brilliantly voiced by Don Ameche Sally Field and Michael J Fox respectivelyThere is virtually nothing offensive in the film There is a bit of scatological humor but nothing extreme No hard violence save a few tense scenes involving a pounding waterfall an angry porcupine and a dark railroad shaftHilarious scary moving and above all real it surprised me to see that this film didnt win any awards not one Nevertheless I will have to say this is just as good as some of the Best Picture nominees nowadays,1
